# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x1403e80d0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e8170	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e81c0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e87b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e87c0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e87d0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e87e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e8860	0x1403e8a40	+0x1e0	unique, 45B signature, 24B fixed
0x1403e8a90	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e8ac0	0x1403e8ca0	+0x1e0	nearest-anchor delta +0x1e0, 140 shape candidates
0x1403e8ad0	0x1403e8cb0	+0x1e0	nearest-anchor delta +0x1e0, 140 shape candidates
0x1403e92b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e92c0	0x1403e94a0	+0x1e0	unique, 40B signature, 28B fixed
0x1403e9310	0x1403e94f0	+0x1e0	nearest-anchor delta +0x1e0, 513 shape candidates
0x1403e9320	0x1403e9500	+0x1e0	nearest-anchor delta +0x1e0, 246 shape candidates
0x1403e9330	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e9380	0x1403e9560	+0x1e0	nearest-anchor delta +0x1e0, 503 shape candidates
0x1403e9390	0x1403e9570	+0x1e0	nearest-anchor delta +0x1e0, 513 shape candidates
0x1403e9410	0x1403e95f0	+0x1e0	unique, 42B signature, 33B fixed
0x1403e94d0	0x1403e96b0	+0x1e0	unique, 42B signature, 34B fixed
0x1403e9690	0x1403e9870	+0x1e0	nearest-anchor delta +0x1e0, 5 shape candidates
0x1403e96b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e96c0	0x1403e98a0	+0x1e0	nearest-anchor delta +0x1e0, 163 shape candidates
0x1403e9860	0x1403e9a40	+0x1e0	nearest-anchor delta +0x1e0, 246 shape candidates
0x1403e9870	0x1403e9a50	+0x1e0	nearest-anchor delta +0x1e0, 246 shape candidates
0x1403e9880	0x1403e9a60	+0x1e0	unique, 43B signature, 34B fixed
0x1403e9980	0x1403e9b60	+0x1e0	unique, 42B signature, 33B fixed
0x1403e9c80	0x1403e9e60	+0x1e0	unique, 43B signature, 32B fixed
0x1403e9d50	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e9d60	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e9d70	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403e9d80	0x1403e9f60	+0x1e0	nearest-anchor delta +0x1e0, 246 shape candidates
0x1403e9d90	0x1403e9f70	+0x1e0	nearest-anchor delta +0x1e0, 163 shape candidates
0x1403e9da0	0x1403e9f80	+0x1e0	nearest-anchor delta +0x1e0, 246 shape candidates
0x1403ea110	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403ea150	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403ea180	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x1e0)
0x1403ea240	0x1403ea420	+0x1e0	unique, 44B signature, 31B fixed
0x1403ea2f0	0x1403ea4d0	+0x1e0	nearest-anchor delta +0x1e0, 46 shape candidates
0x1403ed530	-	-	UNRESOLVED: 4 shape matches, none at the nearest anchor's delta (+0x230)
0x1403eda50	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403eddb0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403ede20	0x1403ee050	+0x230	unique, 41B signature, 30B fixed
