thunk_va	size	arxan_target	kind	resolved_va	hops	refs
14019fae0	42	144d72bd9	reloc-body	144d72bd9	0	
1401a0800	122	145368a07	stub-return	14029a704	0	call:1426506f0,disp:1401a085e,disp:1401a086c
1401a0880	213	145bd9f79	stub-return	1401a08a1	0	call:1401a09f0,call:1401a0c90
1401a0960	57	1459a97ec	reloc-body	1459a97ec	0	disp:1402fa085,disp:1401a0993
1401a09a0	80	144ca6c4f	stub-return	140c884d3	0	call:1401a0ba0
1401a09f0	277	14513e0ab	stub-return	1401a0a0e	0	disp:144c5021e,disp:1401a0ad0
1401a0b10	80	1457361d5	stub-return	1401a0b38	1	call:1401a0ba0
1401a0b60	57	14525a3ea	stub-return	1401a0b93	0	
1401a0ba0	117	145345bac	stub-return	1404d3583	0	disp:1401a0bcc,disp:1401a0bda
1401a0c20	105	145ccac64	reloc-body	145ccac64	0	disp:1401a0c35,disp:1401a0c44
1401a0c90	175	1456eef91	stub-return	140632709	1	disp:1453c1185,disp:1414ffed8
1401ac340	3595	145083e69	chain-deep	145083e69	0	
1401ad150	32	14593d85d	stub-return	1401ad15f	1	
1401ad1f0	130	1455b0c48	reloc-body	1455b0c48	0	disp:145790e9d,disp:1401ad271
1401b3e70	33	144e2936e	stub-return	140634716	0	call:1424faa14
1401b7460	350	1458816c4	stub-return	1401b749e	0	call:141eba960,disp:141019c7d,disp:1401b74d4
1401b9220	331	14500f040	stub-return	1401b924d	0	call:1404d67d0,disp:140bf774d,disp:1401b9291
1401c0970	179	145625a72	reloc-body	145625a72	8	
1401c0a30	197	1452e3b16	reloc-body	1452e3b16	0	
1401c3bc0	141	145ae9791	reloc-body	145ae9791	0	disp:1458db774,disp:1401c3c4c
1401c50f0	162	145b719b3	reloc-body	145b719b3	0	disp:14013bc96,disp:1401c5180
1401c51f0	180	144f22ea9	stub-return	1401c5211	0	call:14011dcd0,call:1401cc260,disp:145645f44,disp:1401c5232
1401c52b0	233	145189989	stub-return	140d8612b	0	call:141d86c60,call:140d863b0,call:140d87220,call:141d70680
1401c9320	162	144c9eaa1	stub-return	1400b8dc6	0	call:1401ca990,disp:1401c935b,disp:1401c9383
1401c93d0	130	145324e3f	stub-return	1401c944d	0	
1401ca990	316	144de1138	stub-return	140168db6	0	
1401caed0	405	14568a1c8	reloc-body	14568a1c8	0	disp:140b060d4,disp:1401caf38
1401ce150	48	1455ded54	reloc-body	1455ded54	0	
1401ce180	48	144ed867b	reloc-body	144ed867b	0	
1401ce1b0	48	1452cae8e	reloc-body	1452cae8e	0	
1401ce1e0	48	14562d2af	reloc-body	14562d2af	0	
1401d2560	162	145642b65	reloc-body	145642b65	0	disp:14016f8eb,disp:1401d25f0
1401d27d0	367	144ec3550	stub-return	1401d2808	0	call:1401cc260,call:141eba960,disp:14104dc8f,disp:1401d2846
1401d2940	478	1455ccd7e	stub-return	1401d2981	0	call:1401d27d0,disp:1401d2992,disp:1401d2995
1401d2b20	478	144c39445	chain-deep	144dc97a8	1	
1401dbce0	162	1451235e3	reloc-body	1451235e3	0	disp:140518ad5,disp:1401dbd70
1401dbdd0	335	145a65403	stub-return	1401dbe04	0	call:1401cc260,call:141eba960,disp:140e22ccb,disp:1401dbe42
1401de2d0	2257	144d6dfb8	stub-return	140ab34ee	0	disp:140ab351c,disp:140ab3476
1401debb0	162	14530b5e7	stub-return	1404f6096	0	call:1401dec70,disp:1401debeb,disp:1401dec13
1401dec70	335	145794f40	reloc-body	145794f40	0	
1401dedc0	75	145b1bb84	reloc-body	145b1bb84	0	disp:141325874,disp:1401dedfe
1401dee10	75	1458dfca9	stub-return	140185634	0	call:141ec13e0,call:141eb97a0
1401e1910	45	145361cf0	stub-return	1401e192a	0	call:141694a30
1401e1950	31	1453693f6	reloc-body	1453693f6	1	disp:144c97df8,disp:1401e1a2e
1401e1a2e	22	145c7f201	reloc-body	145c7f201	1	
1401e1a50	135	145188ce6	reloc-body	145188ce6	0	disp:140120075,disp:1401e1acf
1401e1ae0	31	1459a7e9d	stub-return	14076817e	1	call:14011df00
1401e1b31	15	144fcb887	reloc-body	144fcb887	2	
1401e1bd0	142	144e29cf1	stub-return	1401e1c10	0	disp:1401e1c3e,disp:1401e1c4d
1401e1c60	526	145ab1a85	stub-return	1401e1cc2	0	call:141eb97a0,call:141ed6150,disp:1401e1d07,disp:1401e1e5e
1401e1e70	77	144cf3946	reloc-body	144cf3946	0	disp:140cecf10,disp:1401e1eb0
1401e1ec0	67	145b17423	stub-return	1401e1ef6	0	
1401e1f10	56	1451a370d	stub-return	142222a8e	0	
1401e1f50	61	144cee08f	reloc-body	144cee08f	0	disp:14026829f,disp:1401e1f87
1401e2060	114	144da9504	stub-return	140cbd3bd	0	call:141ed62f0,disp:1401e20b6,disp:1401e20c4
1401e20e0	104	1453bec54	stub-return	140158205	4	call:141eb9ed0,disp:1401650f1,disp:14204ba43
1401e2150	68	1458a2b08	stub-return	1401e216d	0	call:141ec0f60,disp:1401e2178,disp:1401e2186
1401e21a0	162	144c97ad5	stub-return	140e73b04	0	call:1424fad58,disp:140d4fdc4,disp:1401e21f3
1401e2260	137	145373a34	stub-return	1401e2270	0	disp:1401e2279,disp:1401e22e2
1401e22f0	190	144ee86fe	stub-return	1401e2320	0	disp:14557efe6,disp:1401e2320
1401e2430	176	144d48169	stub-return	1420853e6	2	disp:14514a1ca,disp:1420853fe
1401e24e0	158	145155a63	reloc-body	145155a63	1	disp:1450686f7,disp:1401e257d
1401e2580	404	144f2d6b2	stub-return	1401e2704	0	
1401e2720	141	145316ab1	stub-return	1401e273f	0	call:1401e2260,disp:140ffa75d,disp:1401e279d
1401e27b0	43	145317cbc	stub-return	1401e27e0	1	call:1401e1ae0,disp:1407e1432,disp:1401e27f7
1401e2840	20	14503c073	reloc-body	14503c073	3	disp:1458211d3,disp:1401e2900
1401e28fa	60	145734ed3	stub-return	140e47814	0	disp:1404c8c2b,disp:140e47834
